term,p-value,q-value
Regulation Of Cartilage Development (GO:0061035),0.0016992869527882334,0.014837887532696157
Regulation Of Chondrocyte Differentiation (GO:0032330),0.002498457037470075,0.014837887532696157
Regulation Of Actin Polymerization Or Depolymerization (GO:0008064),0.0026981997671820333,0.014837887532696157
Regulation Of Protein Polymerization (GO:0032271),0.003297308340599146,0.014837887532696157
Regulation Of Actin Filament Polymerization (GO:0030833),0.006987841649466664,0.020065693403280942
Regulation Of Actin Filament-Based Process (GO:0032970),0.006987841649466664,0.020065693403280942
Regulation Of Actin Cytoskeleton Organization (GO:0032956),0.009079427255285953,0.020065693403280942
Small GTPase Mediated Signal Transduction (GO:0007264),0.011168809427044516,0.020065693403280942
Regulation Of Cytoskeleton Organization (GO:0051493),0.011367683272287023,0.020065693403280942
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),0.011765370989972842,0.020065693403280942
Regulation Of Cell Motility (GO:2000145),0.01226236819089391,0.020065693403280942
Skeletal System Development (GO:0001501),0.01484473949298198,0.02226710923947297
Regulation Of Cell Differentiation (GO:0045595),0.01920720882058677,0.026594596828504756
Regulation Of Intracellular Signal Transduction (GO:1902531),0.029480027566684792,0.03790289258573759
